flag,flag_key,fleet_size,accident_count,accident_rate,accident_rate_norm,avg_severity_risk,severity_risk_norm,avg_ship_type_risk,ship_type_risk_norm,paris_mou_category,paris_rank,paris_inspections_2022_2024,paris_detentions_2022_2024,paris_excess_factor,flag_safety_risk,flag_safety_risk_norm,risk_score
Isle of Man,isle of man,257,9,0.03501945525291829,0.03501945525291829,0.9611111111111111,0.9611111111111111,0.5730286738351255,0.5730286738351255,white,25,354,9,-0.84,0.0,0.0,0.3922898100497887
New Zealand,new zealand,120,8,0.06666666666666667,0.06666666666666667,0.675,0.675,0.30997983870967744,0.30997983870967744,unlisted,,,,,0.5,0.5,0.38791162634408605
Norway,nis,0,3,0.0,0.0,0.6333333333333333,0.6333333333333333,0.4059139784946237,0.4059139784946237,unlisted,,,,,0.5,0.5,0.38481182795698926
Jordan,jordan,34,1,0.029411764705882353,0.029411764705882353,1.0,1.0,0.008064516129032258,0.008064516129032258,unlisted,,,,,0.5,0.5,0.3843690702087286
Hong Kong,hong kong,0,65,0.0,0.0,0.87,0.87,0.6668114143920597,0.6668114143920597,white,11,1596,34,-1.4,0.0,0.0,0.3842028535980149
Portugal,mar,0,8,0.0,0.0,0.76875,0.76875,0.26260080645161293,0.26260080645161293,unlisted,,,,,0.5,0.5,0.38283770161290326
Romania,romania,127,2,0.015748031496062992,0.015748031496062992,0.825,0.825,0.18346774193548387,0.18346774193548387,unlisted,,,,,0.5,0.5,0.38105394335788667
São Tomé and Príncipe,sao tome and principe,69,1,0.014492753623188406,0.014492753623188406,1.0,1.0,0.008064516129032258,0.008064516129032258,unlisted,,,,,0.5,0.5,0.3806393174380552
Dominica,dominica,74,1,0.013513513513513514,0.013513513513513514,1.0,1.0,0.008064516129032258,0.008064516129032258,unlisted,,,,,0.5,0.5,0.38039450741063646
Kazakhstan,kazakhstan,122,1,0.00819672131147541,0.00819672131147541,1.0,1.0,0.008064516129032258,0.008064516129032258,unlisted,,,,,0.5,0.5,0.3790653093601269
Venezuela,venezuela,272,1,0.003676470588235294,0.003676470588235294,1.0,1.0,0.008064516129032258,0.008064516129032258,unlisted,,,,,0.5,0.5,0.3779352466793169
Djibouti,djibouti,42,1,0.023809523809523808,0.023809523809523808,0.65,0.65,0.3346774193548387,0.3346774193548387,unlisted,,,,,0.5,0.5,0.37712173579109065
Portugal,portugal,1131,43,0.03801945181255526,0.03801945181255526,0.9337209302325581,0.9337209302325581,0.5313203300825208,0.5313203300825208,white,17,2050,54,-1.24,0.0,0.0,0.37576517803190856
