Economy_Label,2011_Number_of_ships_Value,2011_Number_of_ships_Footnote,2011_Number_of_ships_MissingValue,2012_Number_of_ships_Value,2012_Number_of_ships_Footnote,2012_Number_of_ships_MissingValue,2013_Number_of_ships_Value,2013_Number_of_ships_Footnote,2013_Number_of_ships_MissingValue,2014_Number_of_ships_Value,2014_Number_of_ships_Footnote,2014_Number_of_ships_MissingValue,2015_Number_of_ships_Value,2015_Number_of_ships_Footnote,2015_Number_of_ships_MissingValue,2016_Number_of_ships_Value,2016_Number_of_ships_Footnote,2016_Number_of_ships_MissingValue,2017_Number_of_ships_Value,2017_Number_of_ships_Footnote,2017_Number_of_ships_MissingValue,2018_Number_of_ships_Value,2018_Number_of_ships_Footnote,2018_Number_of_ships_MissingValue,2019_Number_of_ships_Value,2019_Number_of_ships_Footnote,2019_Number_of_ships_MissingValue,2020_Number_of_ships_Value,2020_Number_of_ships_Footnote,2020_Number_of_ships_MissingValue,2021_Number_of_ships_Value,2021_Number_of_ships_Footnote,2021_Number_of_ships_MissingValue,2022_Number_of_ships_Value,2022_Number_of_ships_Footnote,2022_Number_of_ships_MissingValue,2023_Number_of_ships_Value,2023_Number_of_ships_Footnote,2023_Number_of_ships_MissingValue,2024_Number_of_ships_Value,2024_Number_of_ships_Footnote,2024_Number_of_ships_MissingValue,2025_Number_of_ships_Value,2025_Number_of_ships_Footnote,2025_Number_of_ships_MissingValue
"Bangladesh",274,,,248,,,253,,,270,,,297,,,304,,,336,,,356,,,378,,,434,,,482,,,531,,,567,,,596,,,611,,
"Barbados",126,,,133,,,136,,,127,,,113,,,114,,,109,,,120,,,130,,,146,,,167,,,197,,,276,,,341,,,491,,
"Belarus",7,,,6,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,
"Belgium",192,,,209,,,201,,,190,,,188,,,186,,,194,,,198,,,193,,,198,,,204,,,199,,,189,,,183,,,184,,
"Belize",860,,,748,,,732,,,722,,,734,,,735,,,750,,,756,,,779,,,789,,,777,,,781,,,748,,,799,,,769,,
"Benin",4,,,5,,,5,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,7,,,6,,,11,,,11,,
"Bermuda",166,,,165,,,168,,,156,,,153,,,153,,,158,,,157,,,150,,,140,,,147,,,136,,,122,,,109,,,114,,
"Bolivia (Plurinational State of)",97,,,75,,,73,,,58,,,59,,,59,,,47,,,42,,,42,,,43,,,44,,,48,,,51,,,50,,,54,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"Brazil",575,,,602,,,628,,,665,,,692,,,731,,,777,,,841,,,864,,,877,,,863,,,869,,,888,,,900,,,926,,
"British Virgin Islands",20,,,17,,,16,,,18,,,20,,,20,,,20,,,25,,,28,,,30,,,29,,,30,,,30,,,29,,,25,,
"Brunei Darussalam",82,,,82,,,81,,,81,,,97,,,100,,,106,,,96,,,94,,,93,,,96,,,95,,,95,,,96,,,96,,
"Bulgaria",109,,,101,,,89,,,82,,,83,,,81,,,84,,,81,,,83,,,81,,,80,,,81,,,77,,,77,,,76,,
"Cabo Verde",38,,,39,,,39,,,42,,,42,,,42,,,43,,,41,,,43,,,45,,,45,,,45,,,42,,,41,,,42,,
"Cambodia",836,,,754,,,758,,,699,,,606,,,591,,,321,,,270,,,254,,,247,,,200,,,199,,,187,,,183,,,183,,
"Cameroon",16,,,15,,,14,,,13,,,18,,,18,,,27,,,28,,,33,,,64,,,101,,,130,,,218,,,307,,,240,,
"Canada",646,,,637,,,643,,,643,,,647,,,645,,,643,,,661,,,663,,,698,,,698,,,697,,,713,,,714,,,711,,
"Cayman Islands",163,,,172,,,164,,,156,,,163,,,154,,,161,,,165,,,169,,,166,,,162,,,146,,,137,,,124,,,116,,
"Chile",172,,,179,,,182,,,188,,,193,,,196,,,219,,,222,,,221,,,237,,,243,,,241,,,246,,,243,,,242,,
"China",3501,,,3512,,,3774,,,3997,,,4177,,,4181,,,4481,,,5838,,,6286,,,6708,,,7461,,,8794,,,9977,,,10305,,,10288,,
"China, Hong Kong SAR",1737,,,1975,,,2227,,,2342,,,2405,,,2518,,,2563,,,2619,,,2706,,,2701,,,2722,,,2665,,,2533,,,2483,,,2513,,
"China, Macao SAR",1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,4,,,6,,,7,,,7,,,7,,
"China, Taiwan Province of",327,,,325,,,333,,,338,,,350,,,356,,,353,,,367,,,399,,,422,,,437,,,451,,,463,,,468,,,460,,
"Colombia",94,,,85,,,91,,,104,,,103,,,102,,,108,,,114,,,121,,,146,,,147,,,149,,,152,,,154,,,156,,
"Comoros",312,,,264,,,240,,,190,,,187,,,199,,,197,,,214,,,212,,,234,,,244,,,252,,,282,,,294,,,432,,
"Congo",19,,,5,,,6,,,8,,,24,,,25,,,30,,,12,,,11,,,11,,,12,,,11,,,11,,,11,,,10,,
"Cook Islands",116,,,110,,,140,,,174,,,181,,,205,,,227,,,218,,,198,,,201,,,191,,,187,,,179,,,196,,,175,,
"Costa Rica",9,,,10,,,10,,,10,,,10,,,10,,,11,,,10,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,
"Cote d'Ivoire",9,,,9,,,9,,,9,,,9,,,9,,,11,,,25,,,25,,,25,,,25,,,25,,,25,,,26,,,26,,
"Croatia",260,,,271,,,263,,,269,,,275,,,272,,,313,,,319,,,339,,,354,,,363,,,380,,,381,,,389,,,397,,
"Cuba",41,,,35,,,35,,,36,,,42,,,42,,,47,,,49,,,52,,,56,,,61,,,63,,,66,,,66,,,68,,
"Curacao",133,,,129,,,122,,,112,,,104,,,94,,,90,,,80,,,73,,,64,,,62,,,58,,,53,,,49,,,75,,
"Cyprus",972,,,1024,,,1023,,,1042,,,1049,,,1028,,,1005,,,1015,,,1029,,,1059,,,1053,,,1033,,,1012,,,997,,,1032,,
"Czechia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"Czechoslovakia",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Dem. People's Rep. of Korea",292,,,273,,,267,,,239,,,233,,,235,,,238,,,265,,,266,,,265,,,260,,,264,,,274,,,284,,,289,,
"Dem. Rep. of the Congo",,,,3,,,12,,,18,,,26,,,26,,,41,,,21,,,22,,,22,,,22,,,24,,,24,,,25,,,25,,
"Democratic Republic of Germany",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Denmark",637,,,630,,,638,,,634,,,653,,,666,,,648,,,648,,,675,,,692,,,719,,,729,,,714,,,702,,,686,,
"Djibouti",12,,,15,,,15,,,15,,,18,,,18,,,20,,,16,,,20,,,22,,,36,,,42,,,37,,,37,,,42,,
"Dominica",123,,,114,,,98,,,75,,,70,,,67,,,82,,,104,,,107,,,97,,,93,,,85,,,72,,,69,,,74,,
"Dominican Republic",28,,,24,,,24,,,24,,,24,,,23,,,27,,,35,,,37,,,38,,,40,,,37,,,36,,,41,,,41,,
"Ecuador",78,,,78,,,83,,,131,,,132,,,134,,,139,,,139,,,137,,,147,,,151,,,153,,,149,,,150,,,153,,
"Egypt",377,,,383,,,380,,,384,,,394,,,399,,,385,,,390,,,397,,,403,,,423,,,437,,,442,,,444,,,453,,
"El Salvador",2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,4,,,5,,,5,,,6,,
"Equatorial Guinea",25,,,32,,,35,,,37,,,40,,,39,,,40,,,39,,,41,,,43,,,44,,,47,,,52,,,47,,,40,,
"Eritrea",9,,,9,,,10,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,10,,
"Estonia",79,,,84,,,76,,,72,,,72,,,76,,,71,,,68,,,65,,,67,,,68,,,70,,,71,,,68,,,69,,
"Eswatini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,
"Ethiopia",8,,,8,,,10,,,17,,,17,,,13,,,11,,,11,,,11,,,11,,,12,,,12,,,12,,,11,,,11,,
"Ethiopia (...1991)",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Falkland Islands (Malvinas)",3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,
"Faroe Islands",72,,,73,,,95,,,97,,,95,,,98,,,101,,,102,,,105,,,100,,,101,,,93,,,88,,,92,,,91,,
"Federal Republic of Germany",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Fiji",39,,,39,,,38,,,40,,,46,,,47,,,76,,,64,,,69,,,73,,,74,,,75,,,79,,,80,,,83,,
"Finland",272,,,261,,,275,,,267,,,264,,,265,,,267,,,264,,,271,,,280,,,282,,,285,,,281,,,283,,,279,,
"France",532,"Break",,547,,,540,,,533,,,530,,,545,,,525,,,514,,,517,,,528,,,543,,,534,,,530,,,550,,,559,,
"French Polynesia",16,,,16,,,16,,,18,,,17,,,18,,,17,,,23,,,25,,,24,,,23,,,26,,,25,,,25,,,28,,
"French Southern Territories",,,,,,,,,,,,,,,,,,,4,,,4,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,
"Gabon",23,,,24,,,24,,,24,,,27,,,27,,,28,,,31,,,30,,,41,,,69,,,78,,,89,,,127,,,119,,
"Gambia",10,,,9,,,8,,,8,,,8,,,8,,,7,,,9,,,8,,,8,,,8,,,9,,,16,,,14,,,37,,
"Georgia",215,,,164,,,116,,,91,,,87,,,85,,,79,,,77,,,23,,,24,,,25,,,24,,,26,,,26,,,28,,
"Germany",774,,,809,,,745,,,670,,,639,,,615,,,627,,,630,,,613,,,612,,,623,,,611,,,589,,,590,,,602,,
"Ghana",42,,,43,,,42,,,44,,,45,,,44,,,47,,,50,,,49,,,51,,,51,,,51,,,50,,,51,,,51,,
"Gibraltar",276,,,296,,,304,,,312,,,305,,,300,,,280,,,246,,,232,,,219,,,202,,,156,,,126,,,107,,,96,,
"Greece",1543,,,1541,,,1483,,,1421,,,1400,,,1377,,,1344,,,1327,,,1282,,,1307,,,1261,,,1234,,,1211,,,1208,,,1203,,
"Greenland",8,,,8,,,9,,,7,,,8,,,8,,,9,,,9,,,8,,,8,,,11,,,12,,,12,,,12,,,12,,
"Grenada",6,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,5,,,5,,,6,,
"Guam",3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,
"Guatemala",6,,,6,,,7,,,7,,,8,,,8,,,9,,,8,,,8,,,9,,,9,,,9,,,10,,,10,,,13,,
"Guinea",1,,,,,,,,,,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,3,,,2,,,4,,,30,,
